urn|textgroup|groupname_eng|has_mads|mads_possible|notes|urn_status|created_by|edited_by
urn:cite:perseus:cattg.81.1|urn:cts:greekLit:tlg0113|Antipater, of Sidon, fl. ca. 100 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.82.1|urn:cts:greekLit:tlg0114|Antipater of Thessalonica fl. 11 B.C. -12 A.D|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.83.1|urn:cts:greekLit:tlg0116|Abydenus Historicus 2. Jh. n. Chr|false|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.84.1|urn:cts:greekLit:tlg0117|Antiphanes, Macedo 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.85.1|urn:cts:greekLit:tlg0118|Antiphilus Byzantius 1. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.86.1|urn:cts:greekLit:tlg0119|Antistius Epigrammaticus 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.87.1|urn:cts:greekLit:tlg0120|Antonius, Argivus 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.88.1|urn:cts:greekLit:tlg0121|Anyte, of Tegea|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.89.1|urn:cts:greekLit:tlg0122|Apollinarius Epigrammaticus d2. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.90.1|urn:cts:greekLit:tlg0124|Apollonides Smyrnaeus 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.91.1|urn:cts:greekLit:tlg0126|Archias Epigr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.92.1|urn:cts:greekLit:tlg0127|Archias, Aulus Licinius b. 120 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.93.1|urn:cts:greekLit:tlg0128|Zoilus, Amphipolitanus, 4. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.94.1|urn:cts:greekLit:tlg0131|Archimelus Epigrammaticus 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.95.1|urn:cts:greekLit:tlg0132|Argentarius, Marcus 1. Jh. v. Chr./1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.96.1|urn:cts:greekLit:tlg0133|Aristodicus, Rhodius 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.97.1|urn:cts:greekLit:tlg0134|Ariston Epigrammaticus 3./1. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.98.1|urn:cts:greekLit:tlg0135|Artemidorus, Tarsensis 1. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.99.1|urn:cts:greekLit:tlg0136|Artemon Epigrammaticus 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.100.1|urn:cts:greekLit:tlg0137|Asclepiades of Samos|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.101.1|urn:cts:greekLit:tlg0138|Anonymi Epigrammatici|false|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.102.1|urn:cts:greekLit:tlg0139|Antigenes Atheniensis 5. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.103.1|urn:cts:greekLit:tlg0140|Automedon Cyzicenus 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.104.1|urn:cts:greekLit:tlg0141|Athenaeus Epigr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.105.1|urn:cts:greekLit:tlg0142|Bacis Eleus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.106.1|urn:cts:greekLit:tlg0143|Lollius Bassus, fl.1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.107.1|urn:cts:greekLit:tlg0144|Besantinus Epigrammaticus 2. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.108.1|urn:cts:greekLit:tlg0145|Bianor Bithynius um 17 n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.109.1|urn:cts:greekLit:tlg0146|Boethus Tarsensis 1. Jh. v. Chr./1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.110.1|urn:cts:greekLit:tlg0147|Calleas Epigrammaticus Person der Antike|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.111.1|urn:cts:greekLit:tlg0148|Callicter Epigrammaticus 1./2. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.112.1|urn:cts:greekLit:tlg0149|Capito Epigrammaticus Person der Antike|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.113.1|urn:cts:greekLit:tlg0150|Carphyllides Epigrammaticus 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.114.1|urn:cts:greekLit:tlg0151|Cerealius Epigrammaticus 1./2. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.115.1|urn:cts:greekLit:tlg0152|Chaeremon, Epigrammaticus 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.116.1|urn:cts:greekLit:tlg0153|Cornelius Longus 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.117.1|urn:cts:greekLit:tlg0154|Crinagoras, b. ca. 70 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.118.1|urn:cts:greekLit:tlg0156|Cyllenius Epigrammaticus 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.119.1|urn:cts:greekLit:tlg0157|Cyrillus Epigrammaticus 1. Jh. v. Chr./1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.120.1|urn:cts:greekLit:tlg0158|Damagetus Epigrammaticus 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.121.1|urn:cts:greekLit:tlg0159|Demetrius, Bithynius 2. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.122.1|urn:cts:greekLit:tlg0160|Demiurgus Epigrammaticus 1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.123.1|urn:cts:greekLit:tlg0161|Democritus, Epigrammaticus ca. 3. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.124.1|urn:cts:greekLit:tlg0162|Diocles Rhetor 1 Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.125.1|urn:cts:greekLit:tlg0163|Diodorus Epigrammaticus 1. Jh. v. Chr./1. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.126.1|urn:cts:greekLit:tlg0164|Diodorus Zonas fl.um 100 v. Chr.|true|true||published|feed_aggregator|feed_aggregator
