Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Libanius					Ἐξῄτησεν ὁ Φίλιππος τὸν Δημοσθένην. κατέφυγεν ἐπὶ τὸν Ἐλέου βωμὸν ὁ Δημοσθένης…(Declamation 22)								new collection	none	none	none	2200.005x22			``	``		
Libanius					Ἐκδοθεὶς Φιλίππῳ Δημοσθένης καὶ ἀφεθεὶς μὴ πολιτευόμενος κρίνεται δημοσίᾳ (Declamation 23)								new collection	none	none	none	2200.005x23			``	``		
Libanius					Νόμος ἐν Λακεδαίμονι τὸν εἴσω τριάκοντα ἐτῶν μὴ δημηγορεῖν (Declamation 24)								new collection	none	none	none	2200.005x24			``	``		
Libanius					Ἐν Κορίνθῳ γέγονεν ἑταίρα τις εὐπρεπὴς Λαὶς ἐραστὰς πολλοὺς ἐπισπωμένη τῷ κάλλει (Declamation 25)								new collection	none	none	none	2200.005x25			``	``		
Libanius					Δύσκολος γήμας λάλον γυναῖκα ἑαυτὸν προσαγγέλλει (Declamation 26)								new collection	none	none	none	2200.005x26			``	``		
Libanius					Δύσκολος ὤλισθεν. ὁ παῖς παρὼν ἐγέλασε. Καὶ ἀποκηρύττει αὐτόν (Declamation 27)								new collection	none	none	none	2200.005x27			``	``		
Libanius					Παράσιτος ἐπὶ δεῖπνον κληθεὶς βουλόμενος θᾶττον ἀπαντῆσαι....(Declamation 28)								new collection	none	none	none	2200.005x28			``	``		
Libanius					Παράσιτος τοῦ τρέφοντος αὐτὸν φιλοσοφήσαντος ἑαυτὸν προσαγγέλλει (Declamation 29)								new collection	none	none	none	2200.005x29			``	``		
Libanius					Φθονερὸς τοῦ γείτονος αὐτοῦ πλουτήσαντος ἐξαίφνης ἑαυτὸν προσαγγέλλει (Declamation 30)								new collection	none	none	none	2200.005x30			``	``		
Libanius					Νόμος τὸν εὑρόντα θησαυρὸν χιλίας τῇ πόλει διδόναι. φιλάργυρος εὑρὼν θησαυρόν…...(Declamation 31)								new collection	none	none	none	2200.005x31			``	``		
Libanius					Φιλάργυρος ἐρασθεὶς ἑταίρας καὶ μισθὸν ἀπαιτούμενος ἑαυτὸν προσαγγέλλει (Declamation 32)								new collection	none	none	none	2200.005x32			``	``		
Libanius					Φιλαργύρου παῖς ἀριστεύσας ᾔτησεν εἰς τὴν δωρεὰν θαλλοῦ στέφανον καὶ ἀποκηρύσσεται (Declamation 33)								new collection	none	none	none	2200.005x33			``	``		
Libanius					Φιλαργύρου παῖς τοῦ πατρὸς αὐτῷ κάμνοντος ηὔξατο τῷ Ἀσκληπιῷ τάλαντον δώσειν, εἰ ὁ πατὴρ τὴν νόσον διαφύγοι…. (Declamation 34)								new collection	none	none	none	2200.005x34			``	``		
Libanius					Πλούσιος ἐν λιμῷ θρέψειν ὑπισχνεῖτο τὴν πόλιν, εἰ ἐκδιδοίη τὸν ἐχθρὸν αὐτῷ. ἡ μὲν οὐκ ἔδωκεν…. (Declamation 35)								new collection	none	none	none	2200.005x35			``	``		
Libanius					Νόμος τὸν θορύβου καὶ στάσεως αἴτιον ἀποθνήσκειν…. (Declamation 36)								new collection	none	none	none	2200.005x36			``	``		
Libanius					Πλούσιος ἀριστεύσας ᾔτησεν εἰς τὴν δωρεὰν τοὺς φυγάδας ἐπανελθεῖν…..(Declamation 37)								new collection	none	none	none	2200.005x37			``	``		
Libanius					Φήμη ἦν συνεῖναι τὸν πλούσιον τῇ τοῦ πένητος γυναικί. ἔθηκεν ὁ πένης νόμον κελεύοντα τοὺς μοιχοὺς ἀκρίτους ἀποκτιννύναι...(Declamation 38)								new collection	none	none	none	2200.005x38			``	``		
Libanius					Φήμη ἦν συνεῖναι τὸν πατέρα τῇ τοῦ παιδὸς γυναικί. νόμον ἔθηκεν ὁ πατὴρ ἐξεῖναι τοὺς παῖδας ἀκρίτους ἀποκτιννύναι (Declamation 39)								new collection	none	none	none	2200.005x39			``	``		
Libanius					Νόμος τὸν ἄνδρα τὴν προῖκα τῆς μοιχευθείσης ἀποκερδαίνειν….. (Declamation 40)								new collection	none	none	none	2200.005x40			``	``		
Libanius					Λοιμὸς ἐπεῖχε τὴν πόλιν. ἔχρησεν ὁ θεὸς παύσασθαι τὸν λοιμόν. εἰ ὁ δῆμος ἑνός του τῶν πολιτῶν παῖδα θύσειεν…. (Declamation 41)								new collection	none	none	none	2200.005x41			``	``		
Libanius					Τύραννος ᾔτησεν ἐξ ἀστυγείτονος πόλεως μειράκιον ὡραῖον ἀπειλῶν πόλεμον, εἰ μὴ λάβοι…..(Declamation 42)								new collection	none	none	none	2200.005x42			``	``		
Libanius					Νόμος ἦν μετὰ τοῦ τυράννου καὶ τοὺς παῖδας ἀποσφάττεσθαι, ἕτερος νόμος τὸν τυρρανοκτόνον ὅ τι βούλοιτο αἰτεῖν (Declamation 43)								new collection	none	none	none	2200.005x43			``	``		
Libanius					Νόμος τὸν ἐπὶ τῆς ἐκκλησίας ὀφθέντα ξένον ἀποθνήσκειν ὑπὸ τοῦστρατηγοῦ…. (Declamation 44)								new collection	none	none	none	2200.005x44			``	``		
Libanius					Τὰς πλείους ψήφους κρατεῖν νόμος ἐκέλευεν….. (Declamation 45)								new collection	none	none	none	2200.005x45			``	``		
Libanius					Ἔχων τις γυναῖκα καὶ ὢν ὑπὸ πατρὶ ἀπεδήμησεν…... (Declamation 46)								new collection	none	none	none	2200.005x46			``	``		
Libanius					Ἔχων τις δύο παῖδας πρὸς τὸν ἕτερον ἐχθρωδῶς διέκειτο. (Declamation 47)								new collection	none	none	none	2200.005x47			``	``		
Libanius					Δύο τις ἔχων παῖδας τὸν ἕτερον ἀπεκήρυξεν. Ὁ ἐπὶ τῆς οἰκίας ἀριστεύσας ᾔτησεν εἰς τὸ γέρας τὸν ἀδελφὸν ἀναληφθῆναι. ... (Declamation 48)								new collection	none	none	none	2200.005x48			``	``		
Libanius					Διέσωσέ τις ἐμπρησμοῦ γενομένου τὸν ἑαυτοῦ πατέρα…..(Declamation 49)								new collection	none	none	none	2200.005x49			``	``		
Libanius					Ἐγράψατό τις τὸν ἑαυτοῦ παῖδα βουλεύσεως. Ὁ παῖς ἀκρίτως ἀποθανεῖν ἀξιοῖ κατὰ τὸν περὶ τῶν ἀκρίτων νόμον (Declamation 50)								new collection	none	none	none	2200.005x50			``	``		
Libanius					Avari Thesauro Privati Lamentatio (Declamation 51)								new collection	none	none	none	2200.005x51			``	``		
Libanius					Fabulae (Progymnasma 1)								new collection	none	none	none	2200.006x01			``	``		
Libanius					Narrationes(Progymnasma 2)								new collection	none	none	none	2200.006x02			``	``		
Libanius					Chriae(Progymnasma 3)								new collection	none	none	none	2200.006x03			``	``		
Libanius					Sententiae(Progymnasma 4)								new collection	none	none	none	2200.006x04			``	``		
Libanius					Refutationes(Progymnasma 5)								new collection	none	none	none	2200.006x05			``	``		
Libanius					Confirmationes (Progymnasma 6)								new collection	none	none	none	2200.006x06			``	``		
Libanius					Loci Communes (Progymnasma 7)								new collection	none	none	none	2200.006x07			``	``		
Libanius					Laudationes/Encomia (Progymnasma 8)								new collection	none	none	none	2200.006x08			``	``		
Libanius					Vituperationes (Progymnasma 9)								new collection	none	none	none	2200.006x09			``	``		
Libanius					Comparationes (Progymnasma 10)								new collection	none	none	none	2200.006x10			``	``		
Libanius					Ethopoeiae (Progymnasma 11)								new collection	none	none	none	2200.006x11			``	``		
Libanius					Descriptiones(Progymnasma 12)								new collection	none	none	none	2200.006x12			``	``		
Libanius					Theses (Progymnasma 13)								new collection	none	none	none	2200.006x13			``	``		
Libanius					Defensio Legis (Progymnasma 14)								new collection	none	none	none	2200.006x14			``	``		
Libanius					Argumenta Orationum Demosthenicarum								new collection	none	none	none	2200.007			``	``		
Libanius					Characteres epistolici [Sp.]								new collection	none	none	none	2200.008			``	``		
Libanius					Epigrammata								new collection	none	none	none	2200.011			``	``		
Libo, L. Scribonius (Scribonius Libo)					Annales								new collection	none	stoa0174a-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Libo&frm=frameset&view=image&seq=789	
Licentius					Carmen Ad Augustinum								new collection	none	stoa0174b-stoa001	none	none			yes	need to enhance		
Licinius Imbrex					Palliatae								new collection	none	stoa0175-stoa001	91.1	none			yes	yes		
Licymnius					Fragmenta								new collection	none	none	none	0374.001			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Licymnius;rgn=full%20text;idno=acl3129.0002.001;didno=acl3129.0002.001;view=image;seq=00000795	
Limenius					Paean Delphicus ii et prosodium in Apollinem								new collection	none	none	none	0203.001			yes (dnb)	no	http://www.brillonline.nl/subscriber/entry?entry=bnp_brill000910-2	Found him in Wikipedia
Lindinus					De aetate								new collection	none	stoa0175a-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Lindinus;rgn=full%20text;idno=acl3129.0002.001;didno=acl3129.0002.001;view=image;seq=00000797	
Lipsius, Justus					Epistolarum Selecatrum Centuriae. Selections.								new collection	none	stoa0177-stoa002	none	none			yes	need to enhance		
Liutprand					Antapodosis. Selections.								new collection	none	stoa0177a-stoa001	none	none			yes	need to enhance		
Liutprand					Relatio De Legatione Constantinopolitana								new collection	none	stoa0177a-stoa002	none	none			``	``		
Livius Andronicus					Odyssia (Fragments)								new collection	none	stoa0178-stoa003	94.1	none			yes	need to enhance		
Livius Andronicus					Tragoediae (Dramatic Fragments?)								new collection	none	stoa0178-stoa004	94.2	none			``	``		
Livius Andronicus					Palliatae								new collection	none	stoa0178-stoa001	94.3	none			``	``		
Livy					Ab Urbe Condita 								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0914,001	stoa0179-stoa001	914.1	none	29BCE-5BCE		yes	yes		
Livy					Periochae								new collection	none	stoa0179-stoa002	914.2		0-100					
Livy					Epitome   								new collection	none	stoa0179-stoa003	914.4	none			``	``		
Livy					Fragmenta								new collection	none	none	914.3	none			``	``		
Lobon, of Argos					Fragmenta in Sophoclem								new	none	none	none	2630.001			yes	need to enhance		
Lollius Bassus					Epigrammata								new collection	none	none	none	0143.001			yes	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0001.001&q1=Bassus&frm=frameset&view=image&seq=488	
Lollius Urbicus					Historia Sui Temporis								new collection	none	stoa0179a-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Lollius;rgn=full%20text;idno=acl3129.0002.001;didno=ACL3129.0002.001;view=image;seq=808;page=root;size=s;frm=frameset;	Can't find cross reference, from Lollius Urbicus, to right Urbicus reference
Longinus					De Sublimitate								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0560,001	none	none	0560.001			yes	yes		
Longinus, Cassius					Ars Rhetorica								new collection	none	none	none	2178.001			yes	need to enhance		
Longinus, Cassius					Fragmenta								new collection	none	none	none	2178.004			``	``		
Longus					Daphnis & Chloe								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0561,001	none	none	0561.001			yes	yes		
Lucan					De Bello Civili (Pharsalia)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0917,001	stoa0180-stoa005	917.1	none	39-65 A.D.		yes	need to enhance		
Lucan					Carmina/Epigrammata								new collection	none	stoa0180-stoa002	suppressed	none			``	n.a.		Have suppressed phi of 917.2 so this will index on STOA
Lucan					Orpheus								new collection	none	stoa0180-stoa004	suppressed	none			``	n.a.		Have suppressed phi of 917.2 so this will index on STOA
Lucan					Iliacon								new collection	none	stoa0180-stoa003	suppressed	none			``	n.a.		Have suppressed phi of 917.2 so this will index on STOA
Lucan					Catachthonion								new collection	none	stoa0180-stoa001	suppressed	none			``	n.a.		Have suppressed phi of 917.2 so this will index on STOA
Lucian					Phalaris								new collection	Perseus:abo:tlg,0062,001	none	none	0062.001			yes	yes		
Lucian					Hippias								new collection	Perseus:abo:tlg,0062,002	none	none	0062.002			``	``		
Lucian					Bacchus								new collection	Perseus:abo:tlg,0062,003	none	none	0062.003			``	``		
Lucian					Hercules								new collection	Perseus:abo:tlg,0062,004	none	none	0062.004			``	``		
Lucian					Electrum								new collection	Perseus:abo:tlg,0062,005	none	none	0062.005			``	``		
Lucian					Muscae Encomium 								new collection	Perseus:abo:tlg,0062,006	none	none	0062.006			``	``		
Lucian					Nigrinus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,007	none	none	0062.007			``	``		
Lucian					Demonax								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,008	none	none	0062.008			``	``		
Lucian					De Domo								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,009	none	none	0062.009			``	``		
Lucian					Patriae encomium								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,010	none	none	0062.010			``	``		
Lucian					Macrobii								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,011	none	none	0062.011			``	``		
Lucian					Verae Historiae								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,012	none	none	0062.012			``	``		
Lucian					Calumniae non temere credundum								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,013	none	none	0062.013			``	``		
Lucian					Lis consonantium (Judicium vocalium)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,014	none	none	0062.014			``	``		
Lucian					Symposium								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,015	none	none	0062.015			``	``		
Lucian					Cataplus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,016	none	none	0062.016			``	``		
Lucian					Juppiter confutatus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,017	none	none	0062.017			``	``		
Lucian					Juppiter trageodeus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,018	none	none	0062.018			``	``		
Lucian					Gallus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,019	none	none	0062.019			``	``		
Lucian					Prometheus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,020	none	none	0062.020			``	``		
Lucian					Icaromenippus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,021	none	none	0062.021			``	``		
Lucian					Timon								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,022	none	none	0062.022			``	``		
Lucian					Charon sive contemplantes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,023	none	none	0062.023			``	``		
Lucian					Vitarum auctio								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,024	none	none	0062.024			``	``		
Lucian					Revivescentes sive piscator								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,025	none	none	0062.025			``	``		
Lucian					Bis accusatus sive tribunalia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,026	none	none	0062.026			``	``		
Lucian					De sacrificiis								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,027	none	none	0062.027			``	``		
Lucian					Adversus indoctum et libros multos ementem								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,028	none	none	0062.028			``	``		
Lucian					Somnium sive vita Luciani								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,029	none	none	0062.029			``	``		
Lucian					De parasito sive artem esse parasiticam								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,030	none	none	0062.030			``	``		
Lucian					Philopseudes sive incredulus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,031	none	none	0062.031			``	``		
Lucian					Dearum judicium								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,032	none	none	0062.032			``	``		
Lucian					De mercede								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,033	none	none	0062.033			``	``		
Lucian					Anacharsis								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,034	none	none	0062.034			``	``		
Lucian					Menippus sive necyomantia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,035	none	none	0062.035			``	``		
Lucian					De luctu								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,036	none	none	0062.036			``	``		
Lucian					Rhetorum praeceptor								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,037	none	none	0062.037			``	``		
Lucian					Alexander								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,038	none	none	0062.038			``	``		
Lucian					Imagines								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,039	none	none	0062.039			``	``		
Lucian					Pro imaginibus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,040	none	none	0062.040			``	``		
Lucian					De Syria dea								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,041	none	none	0062.041			``	``		
Lucian					De morte Peregrini								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,042	none	none	0062.042			``	``		
Lucian					Fugitivi								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,043	none	none	0062.043			``	``		
Lucian					Toxaris vel amicitia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,044	none	none	0062.044			``	``		
Lucian					De saltatione								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,045	none	none	0062.045			``	``		
Lucian					Lexiphanes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,046	none	none	0062.046			``	``		
Lucian					Eunuchus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,047	none	none	0062.047			``	``		
Lucian					De astrologia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,048	none	none	0062.048			``	``		
Lucian					Pseudologista								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,049	none	none	0062.049			``	``		
Lucian					Deorum concilium								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,050	none	none	0062.050			``	``		
Lucian					Tyrannicida								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,051	none	none	0062.051			``	``		
Lucian					Abdicatus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,052	none	none	0062.052			``	``		
Lucian					Quomodo historia conscribenda sit								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,053	none	none	0062.053			``	``		
Lucian					Dipsades								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,054	none	none	0062.054			``	``		
Lucian					Saturnalia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,055	none	none	0062.055			``	``		
Lucian					Herodotus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,056	none	none	0062.056			``	``		
Lucian					Zeuxis								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,057	none	none	0062.057			``	``		
Lucian					Pro lapsu inter salutandum								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,058	none	none	0062.058			``	``		
Lucian					Apologia								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,059	none	none	0062.059			``	``		
Lucian					Harmonides								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,060	none	none	0062.060			``	``		
Lucian					Hesiodus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,061	none	none	0062.061			``	``		
Lucian					Scytha								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,062	none	none	0062.062			``	``		
Lucian					Hermotimus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,063	none	none	0062.063			``	``		
Lucian					Prometheus es in verbis								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,064	none	none	0062.064			``	``		
Lucian					Navigium								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,065	none	none	0062.065			``	``		
Lucian					Dialogi mortuorum								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,066	none	none	0062.066			``	``		
Lucian					Dialogi marini								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,067	none	none	0062.067			``	``		
Lucian					Dialogi deorum								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,068	none	none	0062.068			``	``		
Lucian					Dialogi meretricii								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,069	none	none	0062.069			``	``		
Lucian					Soloecista								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,070	none	none	0062.070			``	``		
Lucian					Podagra								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0062,071	none	none	0062.071			``	``		
Lucian (Pseudo)					Asinus								new collection	none	none	none	0061.001			yes(part of regular one)	``		
Lucian (Pseudo)					Amores								new collection	none	none	none	0061.002			``	``		
Lucian (Pseudo)					Demosthenis encomium								new collection	none	none	none	0061.003			``	``		
Lucian (Pseudo)					Halcyon								new collection	none	none	none	0061.004			``	``		
Lucian (Pseudo)					Ocypus								new collection	none	none	none	0061.005			``	``		
Lucian (Pseudo)					Cynicus								new collection	none	none	none	0061.006			``	``		
Lucian (Pseudo)					Philopatris								new collection	none	none	none	0061.007			``	``		
Lucian (Pseudo)					Charidemus								new collection	none	none	none	0061.008			``	``		
Lucian (Pseudo)					Epigramma								new collection	none	none	none	0061.009			``	``		
Lucian (Pseudo)					Epigrammata								new collection	none	none	none	0061.010			``	``		
Lucian (Pseudo)					Nero								new collection	none	none	none	0061X01			``	``	Now a  work attributed to Philostratus	
Lucian (Pseudo)					Epistulae								new collection	none	none	none	0061X02			``	``		
Lucilius Junior   					Carmina								new collection	none	none	920.1	none			yes	yes		
Lucilius Junior (supposed author)					Aetna								new collection	none	stoa0297-stoa001 (for Aetna)	692.4 (for Aetna)	none			yes	yes		
Lucilius, Gaius					Carminum Reliquiae (Fragmenta in the PHI)								new collection	none	none	97.1	none			yes	yes		
Lucillius					Epigrammata								new collection	none	none	none	1468.001			yes	yes		
Lucretius					De Rerum Natura								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0550,001	stoa0181-stoa001	550.1	none	94BCE-55BCE		yes	yes		
Luscius Lanuvinus					Palliatae								new collection	none	none	100.1	none			yes	yes		
Lutatius Catulus					Communes Historiae								new collection	none	none	552.2	none			yes	yes		
Lutatius Catulus					Epigrammata								new collection	none	none	552.1	none			``	``		
Luxorius					Carmina/Epigrammata (from Anthologia Latina)								new collection	none	stoa0182a-stoa001	none	none			yes	yes		
Luxorius					Epithalamium Fridi								new collection	none	stoa0182a-stoa002	none	none			``	``		
Lycophron   					Fragmenta								new collection	none	none	none	0341.001			yes	yes		
Lycophron   					Alexandra								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0341,002	none	none	0341.002			``	``		
Lycophronides					Fragmenta								new collection	none	none	none	0381.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000858	
Lycurgus					Against Leocrates								Part of Perseus 4.0	Perseus:abo:tlg,0034,001	none	none	0034.001	331BCE-330BCE		yes	yes		
Lycurgus					Fragmenta								new collection	none	none	none	0034.002			``	``		
Lydus, Johannes Laurentius					De magistratibus populi romani								new collection	none	none	none	2580.001			yes	need to enhance		
Lydus, Johannes Laurentius					De Mensibus								new collection	none	none	none	2580.002			``	``		
Lydus, Johannes Laurentius					De ostentis								new collection	none	none	none	2580.003			``	``		
Lycus Rheginus					Fragmenta								new collection	none	none	none	1470.004			yes	need to enhance		
Lygdamus					Elegiae								new collection	none	stoa0183-stoa001	none	none			yes	yes		
Lynceus Comicus					Fragmenta (CAF)								new collection	none	none	none	0471.001			yes(dnb)	no		
Lysias					On the Murder of Eratosthenes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,001	none	none	0540.001	400BCE-380BCE?		yes	yes		
Lysias					Funeral Oration  (Epitaphius sp.)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,002	none	none	0540.002	400BCE-380BCE?		``	``		
Lysias					Against Simon								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,003	none	none	0540.003	393BCE		``	``		
Lysias					On a Wound by Premeditation								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,004	none	none	0540.004	400BCE-380BCE?		``	``		
Lysias					For Callias								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,005	none	none	0540.005	420BCE-380BCE		``	``		
Lysias					Against Andocides								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,006	none	none	0540.006	399BCE		``	``		
Lysias					On the Olive Stump								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,007	none	none	0540.007	395BCE-380BCE		``	``		
Lysias					Accusation of Calumny								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,008	none	none	0540.008	420BCE-380BCE		``	``		
Lysias					For the Soldier								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,009	none	none	0540.009	395BCE-386BCE		``	``		
Lysias					Against Theomnestus 1								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,010	none	none	0540.010	384BCE-383BCE		``	``		
Lysias					Against Theomnestus 2								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,011	none	none	0540.011	384BCE-383BCE		``	``		
Lysias					Against Eratosthenes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,012	none	none	0540.012	403BCE-400BCE		``	``		
Lysias					Against Agoratus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,013	none	none	0540.013	398BCE		``	``		
Lysias					Against Alcibiades 1								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,014	none	none	0540.014	395BCE		``	``		
Lysias					Against Alcibiades 2								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,015	none	none	0540.015	395BCE		``	``		
Lysias					For Mantitheus 								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,016	none	none	0540.016	392BCE-391BCE		``	``		
Lysias					On the Property of Eraton								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,017	none	none	0540.017	397BCE		``	``		
Lysias					On the Confiscation of the Property of the Brother of Nicias								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,018	none	none	0540.018	396BCE		``	``		
Lysias					On the Property of Aristophanes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,019	none	none	0540.019	387BCE		``	``		
Lysias					For Polystratus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,020	none	none	0540.020	410BCE-407BCE		``	``		
Lysias					Defence against a Charge of Taking Bribes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,021	none	none	0540.021	402BCE		``	``		
Lysias					Against the Corn Dealers								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,022	none	none	0540.022	386BCE		``	``		
Lysias					Against Pancleon								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,023	none	none	0540.023	388BCE-386BCE?		``	``		
Lysias					On the Refusal of a Pension								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,024	none	none	0540.024	402BCE		``	``		
Lysias					Defence against a Charge of subverting the Democracy								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,025	none	none	0540.025	400BCE		``	``		
Lysias					On the Scrutiny of Evandros								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,026	none	none	0540.026	382BCE		``	``		
Lysias					Against Epicrates and his Fellow Envoys								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,027	none	none	0540.027	389BCE		``	``		
Lysias					Against Ergocles								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,028	none	none	0540.028	388BCE		``	``		
