Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Albinus					De Metris								new collection	none	none	2002.2	none			``	``		
Alcaeus Comic 					Fragmenta								new collection	none	none	none	0400.001			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0001.001;didno=ACL3129.0001.001;view=image;seq=00000111 http://www.brillonline.nl/subscriber/entry?entry=bnp_e114980	"Smith, Vol 1, pg. 96, ""Alcaeus, no. 3: son of Miccus..poet of the old comedy..:Brill: Alcaeus, 5, Attic poet of the outgoing old comedy"
Alcaeus Comic					Fragmenta								new collection	none	none	none	0400.003			``	``		
Alcaeus Lyric					Fragmenta								new collection	none	none	none	0383.001			yes	n.a.		
Alcaeus of Messene					Epigrammata								new collection	none	none	none	0106.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0104.html	
Alcibiades					Fragmentum								new collection	none	none	none	0236.001			yes	n.a.		
Alcidamas					Fragmenta								new collection	none	none	none	0610.001			yes	n.a.		
Alcimenes					Titulus								new collection	none	none	none	1780.001			yes (dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e115420 (Alcimenes, 4)	
Alcimus (Avitus) Alethius					Carmina from Anthologia Latina								new collection	none	stoa0019a-stoa001	none	none			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0111.html	
Alciphron					Epistulae								new collection	none	none	none	0640.001			yes	n.a.		
Alcman					Fragmenta								new collection	none	none	none	0291.001			yes	n.a.		
Alcuin					Disputatio de rhetorica et de virtutibus								new collection	none	stoa0020-stoa004	none	none			yes	n.a.		
Alcuin					Conflictus veris et hiemis								new collection	none	stoa0020-stoa002	none	none			``	n.a.		
Alexander Aetolus					Fragmenta								new collection	none	none	none	0216.001			yes	n.a.		
Alexander Aetolus					Epigrammata								new collection	none	none	none	0216.002			``	``		
Alexander Aetolus					Fragmenta (TGF)								new collection	none	none	none	0216.003			``	``		
Alexander Comicus					Fragmenta								new collection	none	none	none	0401.001			yes (dnb)	yes		
Alexander of Aphrodisias					De Mixtione								new collection	none	none	none	0732.001			yes	need to enhance		
Alexander of Aphrodisias					in Aristotelis Metaphysica commentaria								new collection	none	none	none	0732.004			``	``		
Alexander of Aphrodisias					in Aristotelis Analyticorum Priorum librum I commentarium								new collection	none	none	none	0732.005			``	``		
Alexander of Aphrodisias					in Aristotelis Topicorum libros octo commentaria								new collection	none	none	none	0732.006			``	``		
Alexander of Aphrodisias					in librum de sensu commentarium								new collection	none	none	none	0732.007			``	``		
Alexander of Aphrodisias					in Aristotelis Meteorologicorum libros commentaria								new collection	none	none	none	0732.008			``	``		
Alexander of Aphrodisias					De Quaestionbus								new collection	none	none	none	0732.012			``	``		
Alexander of Aphrodisias					Ἠθικὰ προβλήματα								new collection	none	none	none	0732.013			``	``		
Alexander of Aphrodisias					De Fato								new collection	none	none	none	0732.014						
Alexander of Magnesia					Epigrammata								new collection	none	none	none	0107.001			yes	yes	?	TLG Only
Alexander of Tralles					Dedicatio ad Cosman								new collection	none	none	none	0744.001			yes	yes		
Alexander of Tralles					de Febribus								new collection	none	none	none	0744.002			``	``		
Alexander of Tralles					Therapeutica								new collection	none	none	none	0744.003			``	``		
Alexander of Tralles					Epistula de vermibus (Epistula de lumbricis)								new collection	none	none	none	0744.004			``	``		
Alexander the Great					Alexandri Magni Epistulae								new collection	none	none	none	0042.001			yes	n.a.		
