URL/URI	LC #	LC NAME/TITLE or DNB AUTHOR NAME	OLD AUTHOR NAME	LS AUTHOR NAME	PHI AUTHOR NAME	OLD AUTHOR NAME ABBREVIATION	LS AUTHOR NAME ABBREVIATION	A&G AUTHOR NAME ABBREVIATION	WORK TITLE	OLD ABBREVIATED TITLE	LS ABBREVIATED TITLE	A&G ABBREVIATED TITLE	OLD STANDARD EDITION	WE OWN?	TLL Standard Edition	WE OWN?	LS STANDARD EDITION	WE OWN?	PHI#	STOA#	PERSEUS HAS THIS WORK	Other identifier	NOTE	URL
http://errol.oclc.org/laf/n84-154670.html	n84-154670	Aldhelm, Saint, 640?-709	none	Aldhelmus	none	none	Aldh. \ Aldhelm.	none	Epistulae ad Acircium, de metris, etc.	none	Aldh. Ep.	none	none	n.a.			Migne (Patrologia Latina)	no-need to obtain	none	stoa0020a-stoa002	no		col. 167, t. 83 Migne.--it is volume 89	http://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus:text:1999.04.0059:entry=re^fo^cilla_trix&highlight=
http://errol.oclc.org/laf/n84-154670.html	n84-154670	Aldhelm, Saint, 640?-709	none	Aldhelmus	none	none	Aldh. \ Aldhelm.	none	Liber de Septenario et de Metris	none	Aldh. Septen. Col.	none	none	n.a.			Migne (Patrologia Latina)	no-need to obtain	none	stoa0020a-stoa003	no		Aldh. Septen. Col. 167 M. (M. for Migne, I would assume)	http://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus:text:1999.04.0059:entry=fo^rasti^cus&highlight=
http://errol.oclc.org/laf/nr95-37490.html	nr95-37490	Alfenus Varus, P. (Publius), fl. 39 B. C.	P. Alfenus Varus 	P. Alfenus Varus 	P. Alfenus Varus 	ALF.	Alfen.	none	Digesta?	ALF. dig. 50. 16. 203 	none	none	Mommsen-Krueger Berlin 1922 (Corpus iuris civilis, Vol I (Digesta Iustiniani in OLD))	no-need to obtain (have older version)			Dig. (Momms.)	no-need to obtain	406.2 (2806. 2 for digesta)	stoa0168-stoa001b	yes			
http://errol.oclc.org/laf/nr95-37490.html	nr95-37490	Alfenus Varus, P. (Publius), fl. 39 B. C.	P. Alfenus Varus 	P. Alfenus Varus 	P. Alfenus Varus 	ALF.	Alfen.	none	Iurisprudentia	ALF. iur. 1	none	none	Seckel-Kuebler T 1908  (Iurisprudentia Anteiustiniana)	no-need to obtain			Hushcke	no-need to obtain	406.2	none	no			
http://errol.oclc.org/laf/nr95-37490.html	nr95-37490	Alfenus Varus, P. (Publius), fl. 39 B. C.	P. Alfenus Varus 	P. Alfenus Varus 	P. Alfenus Varus 	ALF.	Alfen.	none	Grammatica	ALF. gram. 4 	none	none	Funaioli T 1907 (Grammaticae Romanae Fragmenta)	yes-Google has scanned			none	none	406.3	none	yes			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Excesu Fratris Suis Satyri Libri Duo	none	Ambros. de Excid. Fr. sui Sat / Ambros. Exc. Fratr.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa001	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Fide Libri V ad Gratianum Augustum	none	Ambros. de Fide / Ambros. Fid. / Ambros. Fide	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa002	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Mysteriis	none	Ambros. de Myst.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa003	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Officiis Ministrorum	none	Ambros. Off. / Ambros. de. Off / Ambros. Off. Ministr.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa004	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Poenitentia	none	Ambros. de Poenit. / Ambros. Poenit. / Ambros. de Poen. / Ambros. Poen.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa005	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Spiritu Sancto	none	Ambros. Spirit. Sanc. / Ambros. de Spir. Sanc. / Ambros. Spir.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa006	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Viduis	none	Ambros. de Vid.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa007	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Virginibus	none	Ambros. de Virg.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa008	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Epistulae  	none	Ambros. Ep.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa009	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Hymni	none	none	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa010	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Sermones S. Ambrosio ascripti.	none	Ambros. Serm.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa011	no			
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Acta S. Sebastiani.	none	none	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa012	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Ad Virginem Devotam	none	none	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa013	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Apologia Altera Prophetae David	none	Ambros. Apol. Dav. Alt.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa014	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Apologia Prophetae David	none	Ambros. Apol. Dav. / Ambros. Apol. David	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa015	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Commentaria in Epistolas B. Pauli.	none	Ambros. in (Paul--various abbreviations for the letters)	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa016	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	Commentarius in Cantica Canticorum	none	Ambros. Cant. Cantic. / Ambros. in Cant. / Ambros. Cantic.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa017	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Abraham	none	Ambros. de Abr. /Ambros. in Abrah. / Ambros. Abrah. / Ambros. Abr.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa018	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Benedictionibus Patriarcharum	none	Ambros. de Bened.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa019	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Bono Martis	none	Ambros. de Bono Mort. / Ambros. Bon. Mart. / Bon. Mart. / Ambros. de Bon.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa020	no		Created a STOA identifer for this work	
