Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Anonymi Epici et Lyrici	Obtrectatoris Vergilii versiculus 	Fragmenta Poetarum Romanorum	new collection	none	none	9500.19	none		no	Latin	
Anonymi Epici et Lyrici	Odarium	Fragmenta Poetarum Romanorum	new collection	none	none	9500.28	none		no	Latin	
Anonymi Epici et Lyrici	Pani et Apollini	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Pasiphaes fabula 	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Ponticon Praefatio	Poetae Latini minores, Vol III	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Populares Versus in Caligulam	Fragmenta Poetarum Romanorum	new collection	none	none	9500.23	none		no	Latin	
Anonymi Epici et Lyrici	Populares versus in Sarmentum	Fragmenta Poetarum Romanorum	new collection	none	none	9500.21	none		no	Latin	
Anonymi Epici et Lyrici	Popularis Incantio	Fragmenta Poetarum Romanorum	new collection	none	none	9500.9	none		no	Latin	
Anonymi Epici et Lyrici	Septem Sapientium Sententiae	Poetae Latini minores, Vol III	new collection	none	none	9500.27	none		no	Latin	
Anonymi Epici et Lyrici	Tabulae Triumphiatoriae	Fragmenta Poetarum Romanorum	new collection	none	none	9500.8	none		no	Latin	
Anonymi Epici et Lyrici	Tarentinus Senarius	Fragmenta Poetarum Romanorum	new collection	none	none	9500.32	none		no	Latin	
Anonymi Epici et Lyrici	templi Tarracinensis inscriptio	Fragmenta Poetarum Romanorum	new collection	none	none	9500.14	none		no	Latin	
Anonymi Epici et Lyrici	Verba Achillis (part of Anthologia Latina)	Poetae Latini minores, Vol IV	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici	Versus in Caesares Romanos ex Historia Augusta	Fragmenta Poetarum Romanorum	new collection	none	none	9500.30	none		no	Latin	
Anonymi Epici et Lyrici	Versus Orphici ab Arnobio conversi	Fragmenta Poetarum Romanorum	new collection	none	none	9500.31	none		no	Latin	
Anonymi Epici et Lyrici	versus populares in Caesarem et similia	Fragmenta Poetarum Romanorum	new collection	none	none	9500.17	none		no	Latin	
Anonymi Epici et Lyrici	Versus Populares in Neronem Aliosque	Fragmenta Poetarum Romanorum	new collection	none	none	9500.25	none		no	Latin	
Anonymi Epici et Lyrici	Versus Populares in Tiberium	Fragmenta Poetarum Romanorum	new collection	none	none	9500.22	none		no	Latin	
Anonymi Epici et Lyrici	Versus Sacrorum	Fragmenta Poetarum Romanorum	new collection	none	none	9500.2	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Anonymous Carmina from Carmina Vergiliana in the  Anthologia Latina	Poetae latini minores, Vol IV	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Carmina Varia	Poetae Latini minores, Vol IV	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Carmina Varia	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Dubious Poems	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Incertae Aetatis Carmina	Poetae Latini Minores, Vol V	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Varii Variorum Versus	Poetae Latini minores, Vol IV	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epici et Lyrici (Composite Records)	Various Poems	Oxford Book of Latin Verse	new collection	none	none	9500.?	none		no	Latin	
Anonymi Epigrammatici	Amatory Epigrams	Greek Anthology, Volume I	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Arithmetical Problems, Riddles, Oracles	Greek Anthology, Volume V	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Christian Epigrams	Greek Anthology, Volume I	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Cyzicene Epigrams	Greek Anthology, Volume I	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Declamatory Epigrams	Greek Anthology, Volume III	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Dedicatory Epigrams	Greek Anthology, Volume I	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Egyptian Months	Greek Anthology, Volume III	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Epigrammata from the Musa Puerilis	Greek Anthology, Volume IV	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Epigrams in Various Metres	Greek Anthology, Volume V	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Homeric Centos	Greek Anthology, Volume III	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Miscellaneous Epigrams	Greek Anthology, Volume V	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Roman Months	Greek Anthology, Volume III	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	Sepulchral Epigrams	Greek Anthology, Volume II	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	The Convivial and Satirical Epigrams	Greek Anthology, Volume IV	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Epigrammatici	The Hortatory and Admonitory Epigrams	Greek Anthology, Volume IV	new collection	none	none	none	0138.001		n.a.	Greek	
Anonymi Geographi in Sphaera Intelligenda	Anonymi summaria ratio geographiae in sphaera intelligendae	Dionysius Byzantium 	new collection	none	none	none	2029.001		n.a.	Greek	
Anonymi Geographiae Expositio Compendiaria	Geographiae expositio compendiaria 	Dionysius Byzantium 	new collection	none	none	none	0092.001		n.a.	Greek	
Anonymi Historici	Annales Maximi	Historicorum Romanorum reliquiae, Vol I	new collection	none	none	none	none		no	Latin & Greek	
Anonymi Hymnus	Fragmenta	Anthologia lyrica graeca, Volume II, 1925	new collection	none	none	none	none		n.a.	Greek	
Anonymi Hymnus	Hymnus Curetum	Anthologia lyrica graeca, Volume II, 1925	new collection	none	none	none	0227.001		n.a.	Greek	
Anonymi in Aristotelis	Anonymi in Ethica Nicomachea commentaria	CAG, Vol 20	new collection	none	none	none	4033.001		n.a.	Greek	
Anonymi in Aristotelis	In ethica Nicomachea vii commentaria	CAG, Vol 20	new collection	none	none	none	4033.002		n.a.	Greek	
Anonymi in Aristotelis	Anonymi in Aristotelis Categorias paraphrasis	CAG, Vol 23-Part II	new collection	none	none	none	4027.001		n.a.	Greek	
Anonymi in Aristotelis	In Aristotelis sophisticos elenchos paraphrasis	CAG, Vol 23-Part IV	new collection	none	none	none	4193.012		n.a.	Greek	
Anonymi Medici	Peri Onomasias	Oeuvres de Rufus d'Éphèse	new collection	none	none	none	0721.001		n.a.	Greek	
Anonymi Medici	Ὀνοματοποιία τῆς ἀνθρώπου φύσεως	Oeuvres de Rufus d'Éphèse	new collection	none	none	none	0721.002		n.a.	Greek	
Anonymi Medici	Περὶ τῆς τῶν πυρετῶν διαφορᾶς	Oeuvres de Rufus d'Éphèse	new collection	none	none	none	0721.020		n.a.	Greek	
