urn|authority_name|canonical_id|mads_file|alt_ids|related_works|urn_status|redirect_to|created_by|edited_by|
urn:cite:perseus:primauth.69.1|"Alypius Musicus fl.3./4. Jh"|tlg2135|"PrimaryAuthors/A/Alypius/alypius.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.70.1|"Amelesagoras Atheniensis 4./3. Jh. v. Chr"|tlg2219|"PrimaryAuthors/A/Amelesagoras/viaf39766325.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.71.1|"Amipsias Comicus 5./4. Jh. v. Chr"|tlg0403|"PrimaryAuthors/A/Amipsias/amipsias.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.72.1|"Ammianus Epigrammaticus 1./2. Jh"|tlg0109|"PrimaryAuthors/A/Ammianus%2C%20epigrammatist/ammianus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.73.1|"Ammianus Marcellinus"|stoa0023|"PrimaryAuthors/A/Ammianus%20Marcellinus/n80-65875.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.74.1|"Ammon Astrologus 4. Jh. n. Chr"|tlg4350|"PrimaryAuthors/A/Ammon%20Astrologus/AmmonAstrologus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.75.1|"Ammonides Epigrammaticus ca. 3. Jh. v. Chr"|tlg0110|"PrimaryAuthors/A/Ammonides/ammonides.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.76.1|"Ammonius Epigrammaticus 5. Jh. n. Chr"|tlg0289|"PrimaryAuthors/A/Ammonius/ammonius.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.77.1|"Ammonius, Hermiae"|tlg4016|"PrimaryAuthors/A/Ammonius%2C%20Hermiae/n84001513.madsxml.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.78.1|"Amometus Historicus 4./3. Jh. v. Chr"|tlg2445|"PrimaryAuthors/A/Amometus/viaf71783264.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.79.1|"Ampelius, Lucius"|phi1206|"PrimaryAuthors/A/Ampelius%2C%20Lucius/n81-084530.mads.xml"|"stoa0024"|""|published||feed_aggregator|
urn:cite:perseus:primauth.80.1|"Amphilochius Saint, Bishop of Iconium fl. 373-394"|stoa0024a|"PrimaryAuthors/A/Amphilochius/no94-34791.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.81.1|"Amphis Comicus 4. Jh. v. Chr"|tlg0404|"PrimaryAuthors/A/Amphis/amphis.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.82.1|"Ampius Balbus, Titus 1. Jh. v. Chr"|stoa0049b|"PrimaryAuthors/A/Ampius%20Balbus%2C%20Titus/AmpiusBalbus%28Titus%29.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.83.1|"Anacharsis"|tlg0037|"PrimaryAuthors/A/Anacharsis/viaf24679016.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.84.1|"Anacreon"|tlg0237|"PrimaryAuthors/A/Anacreon/n83-15407.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.85.1|"Ananius Iambographus 6. Jh. v. Chr"|tlg0238|"PrimaryAuthors/A/Ananius/ananius.mads.xml"|""|""|published||feed_aggregator|
